iso3c,Economy ,Nearest year ,Original year ,Data type,Mean ($/Month),Pov.line (PPP$/day),Headcount (%),Pov. gap (%),Squared pov. gap,Watts index,Gini index,Median ,MLD index,Population (mil.)
ALB,Albania,2012,2012,c,225.27,1.9,1.06,0.22,0.07,0.27,28.96,195.05,13.8417,2.9
ALB,Albania,2008,2008,c,237.54,1.9,0.37,0.07,0.02,0.08,29.98,198.78,14.8893,2.95
ALB,Albania,2005,2005,c,217.03,1.9,1.12,0.18,0.05,0.21,30.6,184.69,15.4413,3.01
ALB,Albania,2002,2002,c,191.99,1.9,2.05,0.35,0.11,0.44,31.74,158.36,16.4812,3.05
ALB,Albania,1996,1996,c,187.84,1.9,1.13,0.19,0.06,0.23,27.01,165.09,11.9104,3.17
DZA,Algeria,2011,2011.17,C,247.73,1.9,0.46,0.15,0.11,0.14,27.62,216,12.5331,36.82
DZA,Algeria,1995,1995,C,190.96,1.9,5.8,1.14,0.38,1.44,35.33,154.47,20.8518,28.9
DZA,Algeria,1988,1988,C,200.43,1.9,6.44,0.89,0.17,1.09,40.19,149.14,28.1732,24.59
AGO,Angola,2009,2008.5,c,120.76,1.9,30.08,9.64,4.39,13.37,42.72,87.03,31.1632,21.76
AGO,Angola,2000,2000.21,c,136.71,1.9,32.28,14.65,8.87,24.97,51.96,86.48,51.2576,16.44
ARG,Argentina--Urban,2017,2017,i,732.45,1.9,0.52,0.23,0.17,0.14,41.2,557.43,31.2308,40.62
ARG,Argentina--Urban,2016,2016,i,701.35,1.9,0.73,0.31,0.21,0.26,42.02,529.69,32.365,40.18
ARG,Argentina--Urban,2014,2014,i,668.61,1.9,0.65,0.3,0.21,0.23,41.7,501.31,31.6754,39.28
ARG,Argentina--Urban,2013,2013,i,713.73,1.9,0.75,0.32,0.22,0.25,41.01,549.22,31.0805,38.82
ARG,Argentina--Urban,2012,2012,i,711.01,1.9,0.79,0.33,0.22,0.36,41.38,540.97,31.4486,38.36
ARG,Argentina--Urban,2011,2011,i,717.2,1.9,0.89,0.33,0.21,0.3,42.74,529.95,33.3382,37.9
ARG,Argentina--Urban,2010,2010,i,667.78,1.9,2.23,0.88,0.54,1.08,44.46,495.37,38.0171,37.45
ARG,Argentina--Urban,2009,2009,i,649.17,1.9,2.5,1.06,0.64,1.28,44.14,484.82,37.8881,37
ARG,Argentina--Urban,2008,2008,i,626.38,1.9,2.6,1.07,0.67,1.34,45.3,452.72,39.6762,36.56
